cooalpha,codalpha,comcode,year,imports_total,imports_ex_special,eligibility_mfn,eligibility_gsp,eligibility_fta,eligibility_combined_pref,eligibility_unknown,eligibility_pref_mfn_0,eligibility_pref_unknown,use_mfn_0,use_mfn_non_0,use_gsp_0,use_gsp_non_0,use_fta_0,use_fta_non_0,use_unknown,eligibility_pref,use_pref,pur_pct
AD,PL,84138100,2025,974,974,974,0,0,0,0,0,0,974,0,0,0,0,0,0,0,0,
AD,PL,84138100,2026,1844,1844,1844,0,0,0,0,0,0,1844,0,0,0,0,0,0,0,0,
AD,PL,84138200,2023,9617,9617,9617,0,0,0,0,0,0,9617,0,0,0,0,0,0,0,0,
AD,PL,84813099,2023,1793,1793,0,0,1793,0,0,0,0,0,1793,0,0,0,0,0,1793,0,0.0
AD,PL,85235200,2022,2536,2536,2536,0,0,0,0,0,0,2536,0,0,0,0,0,0,0,0,
AD,PL,85447000,2022,21764,21764,21764,0,0,0,0,0,0,21764,0,0,0,0,0,0,0,0,
AD,PL,87083091,2025,96011,96011,0,0,96011,0,0,0,0,0,96011,0,0,0,0,0,96011,0,0.0
AD,PL,87083091,2026,887,887,0,0,887,0,0,0,0,0,887,0,0,0,0,0,887,0,0.0
AD,PL,87089390,2026,1484,1484,0,0,1484,0,0,0,0,0,1484,0,0,0,0,0,1484,0,0.0
AD,SE,95069190,2022,1170,1170,0,0,1170,0,0,0,0,0,1170,0,0,0,0,0,1170,0,0.0
AD,SK,90282000,2024,3344,3344,3344,0,0,0,0,0,0,3344,0,0,0,0,0,0,0,0,
AD,SK,90282000,2025,3135,3135,3135,0,0,0,0,0,0,3135,0,0,0,0,0,0,0,0,
AD,TH,21039090,2024,8570,8570,8570,0,0,0,0,0,0,0,8570,0,0,0,0,0,0,0,
AD,TH,21039090,2025,1096,1096,1096,0,0,0,0,0,0,0,1096,0,0,0,0,0,0,0,
AD,TR,32131000,2022,10761,10761,10761,0,0,0,0,0,0,10761,0,0,0,0,0,0,0,0,
AD,TR,39249000,2022,5070,5070,0,0,5070,0,0,0,0,0,0,0,0,5070,0,0,5070,5070,1.0
AD,TR,39269097,2022,1942,1942,0,0,1942,0,0,0,0,0,0,0,0,1942,0,0,1942,1942,1.0
AD,TR,40093200,2022,940,940,0,0,940,0,0,0,0,0,0,0,0,940,0,0,940,940,1.0
AD,TR,40169952,2022,53781,53781,0,0,53781,0,0,0,0,0,0,0,0,53781,0,0,53781,53781,1.0
AD,TR,49111090,2022,7686,7686,7686,0,0,0,0,0,0,7686,0,0,0,0,0,0,0,0,
AD,TR,52085990,2023,12171,12171,0,0,12171,0,0,0,0,0,0,0,0,12171,0,0,12171,12171,1.0
AD,TR,52093900,2022,1352,1352,0,0,1352,0,0,0,0,0,0,0,0,1352,0,0,1352,1352,1.0
